CNES,CODUFMUN,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,TPGESTAO,PF_PJ,CPF_CNPJ,NIV_DEP,CNPJ_MAN,ESFERA_A,ATIVIDAD,RETENCAO,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,TP_LEITO,CODLEITO,QT_EXIST,QT_CONTR,QT_SUS,QT_NSUS,COMPETEN,NAT_JUR
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,16,   4,   0,   4,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,15,   3,   0,   2,   1,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,11,   6,   0,   5,   1,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,13,  11,   0,   5,   6,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,2 ,32,   8,   0,   8,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,4 ,43,  18,   0,  18,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,2 ,40,   3,   0,   1,   2,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,2 ,38,  12,   0,  12,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,2 ,33,  35,   0,  35,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,93,   4,   0,   4,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,14,   6,   0,   3,   3,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,09,   7,   0,   5,   2,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,06,  11,   0,   8,   3,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,4 ,10,  12,   0,  12,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,7 ,07,   8,   0,   8,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,08,  12,   0,   8,   4,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,03,  11,   0,   8,   3,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,5 ,45,  13,   0,   8,   5,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,66,  13,   0,  11,   2,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,1 ,67,   3,   0,   3,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,5 ,68,   2,   0,   2,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,7 ,69,   1,   0,   1,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,7 ,71,   1,   0,   1,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,75,  16,   0,  16,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,81,   8,   0,   8,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,85,  10,   0,  10,   0,202401,2011
0012505,330330,,,,,M,3,15126437003673,1,00000000000000,,05,,,02,05,06,,,3 ,92,   8,   0,   8,   0,202401,2011
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,7 ,07,   4,   0,   4,   0,202401,1155
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,2 ,33,  80,   0,  80,   0,202401,1155
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,2 ,31,  10,   0,  10,   0,202401,1155
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,1 ,15,   2,   0,   2,   0,202401,1155
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,3 ,95,  25,   0,  25,   0,202401,1155
0012513,330330,,,,,M,3,32556060002397,3,32556060000181,,04,,,03,05,06,,,3 ,66,   5,   0,   5,   0,202401,1155
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,3 ,92,   5,   0,   0,   5,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,3 ,95,   9,   0,   9,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,5 ,45,   1,   0,   1,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,6 ,47,   1,   0,   1,   0,202401,1023
0012521,330330,,,,,E,3,42498717000660,3,42498717000155,,03,,,03,05,06,,,5 ,68,   1,   0,   1,   0,202401,1023
