CNES,CODUFMUN,COD_CEP,CPF_CNPJ,PF_PJ,NIV_DEP,CNPJ_MAN,COD_IR,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,VINC_SUS,TPGESTAO,ESFERA_A,RETENCAO,ATIVIDAD,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TP_PREST,CO_BANCO,CO_AGENC,C_CORREN,CONTRATM,DT_PUBLM,CONTRATE,DT_PUBLE,ALVARA,DT_EXPED,ORGEXPED,AV_ACRED,CLASAVAL,DT_ACRED,AV_PNASS,DT_PNASS,GESPRG1E,GESPRG1M,GESPRG2E,GESPRG2M,GESPRG4E,GESPRG4M,NIVATE_A,GESPRG3E,GESPRG3M,GESPRG5E,GESPRG5M,GESPRG6E,GESPRG6M,NIVATE_H,QTLEITP1,QTLEITP2,QTLEITP3,LEITHOSP,QTINST01,QTINST02,QTINST03,QTINST04,QTINST05,QTINST06,QTINST07,QTINST08,QTINST09,QTINST10,QTINST11,QTINST12,QTINST13,QTINST14,URGEMERG,QTINST15,QTINST16,QTINST17,QTINST18,QTINST19,QTINST20,QTINST21,QTINST22,QTINST23,QTINST24,QTINST25,QTINST26,QTINST27,QTINST28,QTINST29,QTINST30,ATENDAMB,QTINST31,QTINST32,QTINST33,CENTRCIR,QTINST34,QTINST35,QTINST36,QTINST37,CENTROBS,QTLEIT05,QTLEIT06,QTLEIT07,QTLEIT08,QTLEIT09,QTLEIT19,QTLEIT20,QTLEIT21,QTLEIT22,QTLEIT23,QTLEIT32,QTLEIT34,QTLEIT38,QTLEIT39,QTLEIT40,CENTRNEO,ATENDHOS,SERAP01P,SERAP01T,SERAP02P,SERAP02T,SERAP03P,SERAP03T,SERAP04P,SERAP04T,SERAP05P,SERAP05T,SERAP06P,SERAP06T,SERAP07P,SERAP07T,SERAP08P,SERAP08T,SERAP09P,SERAP09T,SERAP10P,SERAP10T,SERAP11P,SERAP11T,SERAPOIO,RES_BIOL,RES_QUIM,RES_RADI,RES_COMU,COLETRES,COMISS01,COMISS02,COMISS03,COMISS04,COMISS05,COMISS06,COMISS07,COMISS08,COMISS09,COMISS10,COMISS11,COMISS12,COMISSAO,AP01CV01,AP01CV02,AP01CV03,AP01CV04,AP01CV05,AP01CV06,AP01CV07,AP02CV01,AP02CV02,AP02CV03,AP02CV04,AP02CV05,AP02CV06,AP02CV07,AP03CV01,AP03CV02,AP03CV03,AP03CV04,AP03CV05,AP03CV06,AP03CV07,AP04CV01,AP04CV02,AP04CV03,AP04CV04,AP04CV05,AP04CV06,AP04CV07,AP05CV01,AP05CV02,AP05CV03,AP05CV04,AP05CV05,AP05CV06,AP05CV07,AP06CV01,AP06CV02,AP06CV03,AP06CV04,AP06CV05,AP06CV06,AP06CV07,AP07CV01,AP07CV02,AP07CV03,AP07CV04,AP07CV05,AP07CV06,AP07CV07,ATEND_PR,DT_ATUAL,COMPETEN,NAT_JUR
0012505,330330,24033900,15126437003673,3,1,00000000000000,,,,,,1,M,,,05,,02,05,06,,99,1   ,0072 ,997380632     ,,,,,062/2019                 ,20190523,1 ,,,,,,0,1,0,1,0,1,1,0,0,0,1,0,1,1,  74,  58,  59,1,  1,  0,  0,  1,  1,  0,  0,  2,  1,  0,  0,  0,  0,  1,1,  8,  0, 46,  4,  0,  0,  0,  0,  2,  1,  1,  0,  0,  1,  2,  1,1, 14,  1,  2,1,  1,  2,  0,  2,1,  4,  0,  0, 12,  0,  0,  0,  0,  0,  0,  6,  3,  0,  0,  0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202401,202401,2011
0012513,330330,24070090,32556060002397,3,3,32556060000181,,,,,,1,M,,,04,,03,05,06,,99,,,,,,,,,,1 ,,,,,,0,1,0,1,0,0,1,0,0,0,1,0,0,1,   2,  90,  30,1,  0,  0,  0,  1,  0,  3,  3,  3,  1,  0,  0,  1,  1,  5,1,  0,  0,  7,  5,  0,  0,  0,  0,  1,  0,  1,  0,  0,  0,  0,  0,1,  3,  2,  1,1,  0,  0,  0,  0,0,  0, 42, 42, 29,  1,  0,  0,  0,  0,  1,  4,  0,  0,  0,  0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202312,202401,1155
0012521,330330,24355090,42498717000660,3,3,42498717000155,,,,,,1,E,,,03,,03,05,06,,99,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,1,0,1,0,1,  66,  57,  56,1,  0,  0,  0,  1,  1,  0,  0,  2,  0,  0,  1,  1,  1,  1,1,  0,  0,  5,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  2,  0,1,  6,  1,  0,1,  1,  1,  1,  1,1,  5,  0,  2,  1,  0,  0,  0,  0,  0,  0,  6,  6,  0, 14, 42,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,202311,202401,1023
0012556,330330,24111000,32556060003369,3,3,32556060000181,,,,,,1,M,,,03,,03,05,06,,99,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,0,0,1,1,  48,  15,  16,1,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  1,1,  0,  0,  6,  1,  0,  0,  0,  0,  0,  1,  1,  0,  1,  0,  1,  1,1,  6,  1,  1,1,  0,  0,  0,  0,0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202402,202401,1155
0012564,330330,24020070,32556060002559,3,3,32556060000181,,,,,,1,M,,,03,,02,04,03,,99,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,   0,   0,   0,0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,0,  0, 51,  0, 12,  0,  0,  0,  1,  0,  0,  5,  0,  1,  0,  1,  2,1,  0,  0,  0,0,  0,  0,  0,  0,0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202312,202401,1155
0012572,330330,24030078,32556060002478,3,3,32556060000181,,,,,,1,M,,,04,,03,04,03,,99,,,,,,,,,,2 ,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,   0,   0,   0,0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,0,  0, 19,  0,  4,  2,  0,  0,  0,  0,  0,  3,  1,  0,  0,  1,  2,1,  0,  0,  0,0,  0,  0,  0,  0,0,  0,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202306,202401,1155
0012580,330330,24230265,32556060001820,3,3,32556060000181,,,,,,1,M,,,03,,03,04,03,,99,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,   0,   0,   0,0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,1,  0,  7,  0, 16,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0,  1,  0,1,  0,  0,  0,0,  0,  0,  0,  0,0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202312,202401,1155
0012599,330330,24130616,32556060002800,3,3,32556060000181,,,,,,1,M,,,03,,03,07,06,,99,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,1,0,0,1,   0,   0,  27,1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  1,  1,  5,1,  0,  8,  0,  0,  0,  0,  0,  0,  1,  0,  1,  0,  0,  1,  1,  0,1,  3,  1,  0,1,  0,  0,  0,  0,0, 10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  0,  0,  0,  0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202308,202401,1155
0012602,330330,24030221,32556060002125,3,3,32556060000181,,,,,,1,M,,,04,,03,04,03,,99,,,,,,,,,,2 ,,,,,,0,1,0,1,0,1,1,0,0,0,0,0,0,0,   0,   0,   0,0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,0, 10, 14,  5, 15,  0,  0,  0,  1,  6,  1,  2,  2,  1,  0,  1,  1,1,  0,  0,  0,0,  0,  0,  0,  0,0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0,  0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202312,202401,1155
0012610,330330,24120191,30079222000102,3,1,00000000000000,,,,,,1,M,,,03,,03,07,06,,99,001 ,00728,00000001122681,,,,,200005429/2022           ,20220330,2 ,,,,,,0,1,0,1,0,1,1,0,0,0,1,0,1,1,   0,   0,   0,0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,1,  0, 18,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,1,  7,  1,  1,1,  0,  0,  0,  0,0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202301,202401,2062
