X,Y,OBJECTID,tx_nome,tx_endereco,tx_cep,tx_bairro,tx_website,tx_email,tx_telefone
693289.424179015,7466910.79309975,1,Complexo Hospitalar de Niterói,"Travessa Lassalle,12",24020-096,Centro,chniteroi.com.br/pt, ,2729-1000
692124.182203862,7465936.79285332,2,Hospital de Clínicas do Ingá,"Rua Presidente Pedreira, 26",24210-470,Ingá,hospitaldeclinicasdoinga.com.br, ,3125-4500
693619.564724687,7466837.31041092,3,Hospital Universitário Antônio Pedro,"Avenida Marquês de Paraná, 303",24030-211,Centro, , ,2629-9408
693825.589717805,7466790.1861999,4,Hospital Municipal Carlos Tortelly,"Rua Desembargador Athaíde Parreiras, 266",24070-090,Bairro de Fátima, , ,2523-8702
695064.54455593,7462686.69168848,5,Hospital Psiquiátrico de Jurujuba,"Avenida Quintino Bocaiúva, s/n",24370-005,Charitas, , ,2711-3166
694732.111168741,7468456.77031218,6,Hospital de Clinicas Alameda,"Alameda São Boa Ventura, 321",24120-191,Fonseca,hospitalalameda.com.br/novo/,ouvidoria@hospitalalameda.com.br,2625-8282
694785.026930015,7465805.01463367,7,Hospital de Olhos Niteroi,"Avenida Sete de Setembro, 221",24230-251,Icaraí,hon.com.br, ouvidoria@hon.com.br,2612-9212
693581.201282269,7466943.79315358,8,Hospital Icarai,"Avenida Marquês de Paraná, 233",24030-211,Centro,hospitalicarai.com.br, ,2613-5374
697127.326008566,7468386.73962311,9,Hospital Getulio Vargas Filho,"Rua Teixeira de Freitas, s/n",24130-616,Fonseca, , ,2627-1535
695692.891858437,7466457.06538519,10,Hospital da Polícia Militar,"Rua Doutor Martins Torres, 245",24240-705,Santa Rosa, , ,3399-2624
695386.862215443,7468362.10640277,11,Hospital de Olhos Santa Beatriz,"Alameda São Boa Ventura, 586",24120-191,Fonseca,hosb.com.br, ,2626-8000 e 3078-0808
695301.221991214,7470646.70866485,12,Hospital de Clínicas São Sebastião,"Rua Doutor March, 207",24110-650,Barreto, , ,2729-1004
694905.416984386,7465977.80340997,13,Hospital Niterói D'Or,"Avenida Sete de Setembro, 301",24230-251,Santa Rosa,rededorsaoluiz.com.br/hospital/niteroidor, ,3509-4700
695477.430251366,7470150.98153188,14,Hospital Orêncio de Freitas,"Avenida Machado, s/n",24111-000,Barreto, , ,2620-3434
697141.937645928,7468459.349982,15,Hospital Estadual Azevedo Lima,"Rua Teixeira de Freitas, 30",24130-616,Fonseca, , ,3601-7283
695002.957543866,7470188.14326738,16,Hospital Estadual Ary Parreiras,"Rua Doutor Luiz Palmier, 762",2607-2054,Barreto, , ,2299-9034
695109.53252277,7470267.57331301,17,Instituto Estadual de Doenças do Tórax Ary Parreiras Hospital Especializado,"Rua Doutor Luiz Palmier, 762",24110-310,Barreto, ,dg@ietap.fs.rj.gov.br,2607-2628
694736.359822556,7462399.68811702,18,Maternidade Municipal Alzira Reis Vieira Ferreira,"Avenida Carlos Ermelindo Marins, s/n",24370-005,Jurujuba, , ,3611-0107
698764.371189849,7461479.09325536,19,Hospital Municipal Oceânico Doutor Gilson Cantarino,"Avenida Doutor Raul de Oliveira Rodrigues, 382",24350-000,Piratininga, , ,2619-3381
699096.44994168,7461886.08102315,20,Hospital Itaipu,"Estrada Francisco da Cruz Nunes, 5599",24310-340,Jacaré, , ,2608-5400
