fid,cnes,nome,nome_gen,tipunidade,nivelatenc,escala,lograd,num,compl,cep,bairro,municipio,uf,pais,telefone,equipe_aps,regsaude2,globalid,tx_plrf
1,0012785,UBS Engenhoca,UBS Engenhoca,Unidade Básica de Saúde,Primária,Municipal,Rua Coronel Guimarães,724, ,24110-441,Engenhoca,Niterói,RJ,Brasil,(21) 96955-5909,Sim,Norte II,{0D075928-5EB8-4C6A-A5EA-BD5625D11CB5},Policlinica Regional da Engenhoca
2,0012807,UBS Santa Bárbara,UBS Santa Bárbara,Unidade Básica de Saúde,Primária,Municipal,Rua Jandira Pereira,625, ,24141-400,Santa Bárbara,Niterói,RJ,Brasil,(21) 96955-8733,Sim,Norte I,{D8D2AAA2-4597-4F7F-BC49-F2F128D04D73},Policlinica Regional Carlos Antonio da Silva
3,0012874,UBS Morro do Estado,UBS Morro do Estado,Unidade Básica de Saúde,Primária,Municipal,Rua Araújo Pimenta,s/n, ,24210-080,Morro do Estado,Niterói,RJ,Brasil,(21) 96955-7808,Sim,Praias da Baía I,{6523A8C4-655B-442D-8213-D26EF94FD471},Policlinica Regional Carlos Antonio da Silva
4,0013048,UBS Centro,UBS Centro,Unidade Básica de Saúde,Primária,Municipal,Rua Visconde de Uruguai,531, ,24030-078,Centro,Niterói,RJ,Brasil, (21) 96955-4217,Sim,Praias da Baía I,{11190479-67D3-4C81-9DB4-E04B69660ED3},Policlinica Regional Carlos Antonio da Silva
5,4065409,UBS de Itaipu,UBS de Itaipu,Unidade Básica de Saúde,Primária,Municipal,Estrada Engenho do Mato,s/n, ,24346-040,Maravista,Niterói,RJ,Brasil,(21) 96955-3084,Sim,Leste Oceânica,{FFA16F54-F6DE-429A-B071-169CDDC0CEF3},Policlinica Regional de Itaipu
6,4007166,UBS Carlos Antônio da Silva,UBS Carlos Antônio da Silva,Unidade Básica de Saúde,Primária,Municipal,Rua Jansen de Mello,s/n, ,24030-220,Centro,Niterói,RJ,Brasil,(21) 96955-3706,Sim,Praias da Baía I,{B455AF2C-85BB-49B5-91BF-41E991A0220A},Policlinica Regional Carlos Antonio da Silva
7,4064208,UBS Largo da Batalha,UBS Largo da Batalha,Unidade Básica de Saúde,Primária,Municipal,Rua Vereador Armando Ferreira,30, ,24310-090,Largo da Batalha,Niterói,RJ,Brasil,(21) 96955-5788,Sim,Pendotiba,{D37F4690-F65D-4135-A09D-E14110581F75},Policlinica Regional do Largo da Batalha
8,4065417,UBS Dr. Guilherme Taylor March,UBS Dr. Guilherme Taylor March,Unidade Básica de Saúde,Primária,Municipal,Rua Desembargador Lima Castro,238, ,24140-173,Fonseca,Niterói,RJ,Brasil,(21) 96955-6462,Sim,Norte I,{1D8DD88A-3C5B-4CE2-B33D-9CADD417D248},Policlinica Regional Guilherme March
9,4054938,UBS Dr .Sérgio Arouca,UBS Dr. Sérgio Arouca,Unidade Básica de Saúde,Primária,Municipal,Rua Vital Brazil,s/n, ,24230-323,Vital Brazil,Niterói,RJ,Brasil,(21) 96955-0983,Sim,Praias da Baía II,{B34228FB-F26F-42E4-8958-DE9EEDEA37DB},Policlinica Regional Sergio Arouca
10,4064194,UBS de Piratininga,UBS de Piratininga,Unidade Básica de Saúde,Primária,Municipal,Rua Doutor Marcolino Gomes Candau,111, ,24358-390,Piratininga,Niterói,RJ,Brasil,(21) 96955-9275,Sim,Leste Oceânica,{DA9B8E9B-FC5E-4627-BA36-D4CCA8D4B10D},Policlinica Regional de Piratininga
11,4326571,UBS Dr. João da Silva Vizella,UBS Barreto,Unidade Básica de Saúde,Primária,Municipal,Rua Doutor Luiz Palmier,726, ,24110-340,Barreto,Barreto,RJ,Brasil,(21) 96955-8819,Sim,Norte II,{5953DC9F-99D6-4492-8AA0-1624E204BB55},Policlinica Regional Dr João da Silva Vizella
